"%s days","%s jours"
"Account Information","Information Compte"
"Assigned to","Assigné à"
"Attach file","Pièce jointe"
"Attach Files to Proposal Email","Joindre des fichiers à un e-mail de proposition"
"Auto proposal","Proposition auto"
"Available Shipping Methods","Méthodes d'expédition disponibles"
"Billing Address is same as Shipping Address","L'adresse de facturation est identique à l'adresse de livraison"
"Billing details","Détails de la facturation"
"Buy Now!","Acheter maintenant !"
"Can not add client request to the quote.","Impossible d'ajouter une demande client au devis."
"Can not add quote history.","Impossible d'ajouter l'historique des devis."
"Can not remove quantity.","Impossible d'enlever la quantité."
"Can not save client note request to the product.","Impossible d'enregistrer la demande de note du client sur le produit."
"Can not save the custom quote product: ","Impossible d'enregistrer le produit de devis personnalisé : "
"Cancel Quote","Annuler le devis"
"Cart2Quote Activation","Activation Cart2Quote"
"Cart2Quote is not enabled for the selected store, please enable Cart2Quote first in: System > Configuration > Cart2Quote > General, and click OK after that.","Cart2Quote n'est pas activé pour le magasin sélectionné, veuillez d'abord activer Cart2Quote dans: Système> Configuration> Cart2Quote> Général, puis cliquez sur OK."
"Cart2Quote notice:","Avis Cart2Quote :"
"Comment with Product","Commenter avec le produit"
"Continue Trial","Continuer l'essai"
"Convert to 8bit PNG","Convertir en PNG 8bit"
"Convert to JPEG","Convertir en JPEG"
"Copy to Quotation","Copier dans devis"
"Copy to Quotation?","Copier sur devis ?"
"Cost Price","Prix de revient"
"Could not create cart2quote export folder: ","Impossible de créer le dossier d'exportation cart2quote : "
"Could not export quotes","Impossible d'exporter les devis"
"Could not find user with id: %s","Impossible de trouver l'utilisateur avec l'id : %s"
"Could not load Coupon Code","Impossible de charger le code de coupon"
"Could not load CRM template","Impossible de charger le modèle CRM"
"Could not recalculate Quote Price","Impossible de recalculer le prix du devis"
"Couldn't auto check out because one or more products are bundle products","Impossible d'effectuer une extraction automatique, car un ou plusieurs produits sont des produits groupés."
"Coupon Code %s","Code de coupon %s"
"Coupon Type '%s' not supported","Type de coupon '%s' non pris en charge"
"Create New Quote","Créer un nouveau devis"
"CRM Email was sent","Un email CRM a été envoyé"
"CRM message couldn't be sent","Message CRM n'a pas pu être envoyé"
"Currently no shipping methods are available","Actuellement, aucune méthode d'expédition n'est disponible"
"Custom product is only available in the Cart2Quote enterprise edition. <a href='https://www.cart2quote.com/cart2quote-update-upgrade.html'>Upgrade</a>","Le produit personnalisé est uniquement disponible dans l'édition Enterprise de Cart2Quote. <a href='https://www.cart2quote.com/cart2quote-update-upgrade.html'>Mettre à niveau</a>"
"Custom quote product is successfully created.","Le produit de devis personnalisé est créé avec succès."
"Customer not recognized for new quote","Client non reconnu pour un nouveau devis"
"Customer's email was undefined","L'e-mail du client n'était pas défini"
"Datafield %s is empty","Le champ de données %s est vide"
"Default Billing & Shipping","Facturation et expédition par défaut"
"Delete Group","Supprimer le groupe"
"Do not convert occurrences","Ne pas convertir les occurrences"
"Do not notify customer","Ne pas avertir le client"
"Duplicate value entered","Dupliquer la valeur entrée"
"Edit products","Editer les produits"
"Email was sent to client","Un email a été envoyé au client"
"Empty Quote","Devis vide"
"Enter custom price excluding tax","Entrez le prix personnalisé hors taxe"
"Enter custom price including default tax","Entrez le prix personnalisé, y compris la taxe par défaut"
"Enter Fixed Price","Entrez le prix fixe"
"Enter licence key","Entrez la clé de licence"
"Enter new Quote Subtotal","Entrer un nouveau sous-total de devis"
"Enter Percentage","Entrez le pourcentage"
"Enter Quote Reduction","Entrez la réduction de devis"
"Enter your billing address details.","Entrez votre adresse de facturation."
"Enter your comments at any time. Click Update Quote to save your changes.","Entrez vos commentaires à tout moment. Cliquez sur Mettre à jour le devis pour enregistrer vos modifications."
"Enter your destination to receive a shipping quotation. Unless otherwise specified, standard shipping is quoted.","Entrez votre destination pour recevoir un devis d'expédition. Sauf indication contraire, les frais d'expédition standard sont indiqués."
"Enterprise only","Entreprise seulement"
"Expiry Date","Date d'expiration"
"File Upload","Téléchargement de fichiers"
"Filter quotes","Filtrer les citations"
"First save this Quotation","Tout d'abord enregistrer cette offre"
"Fixed Price Per Order","Prix fixe par commande"
"Fixed Quote Total was not a valid decimal number","Devis fixe Le total n'était pas un nombre décimal valide"
"Fixed Shipping & Handling price","Prix d'expédition et de manutention fixes"
"Follow Up","Suivre"
"Follow Up Date","Date de suivi"
"For front-end visibility of this module please switch Use Cart2Quote templates to Yes or adjust your custom theme files.","Pour une visibilité front-end de ce module, veuillez basculer Utiliser les modèles Cart2Quote sur Oui ou ajuster vos fichiers de thème personnalisés."
"General Comment","Commentaire général"
"Get Shipping Estimates","Obtenir des devis d'expédition"
"If the end user has no previous assigned sales representative the quote will be assigned to <strong>%s</strong>.","Si aucun utilisateur n'a été précédemment affecté à un commercial, le devis sera attribué à <strong>%s</strong>."
"In Process","En cours"
"in process...","en cours..."
"Incl. default Tax","Incl. taxe par défaut"
"incorrect first parameter for checkQtyIncrements should be product or product_id","premier paramètre incorrect pour checkQtyIncrements, doit être product ou product_id"
"incorrect first parameter for checkQuantities should be product or product_id","Le premier paramètre incorrect pour checkQuantities devrait être product ou product_id"
"incorrect parameter for isInStock should be product or product_id","paramètre incorrect pour isInStock, doit être product ou product_id"
"Internal Comment","Commentaire interne"
"Item #%s was't updated","L'élément #%s n'a pas été mis à jour"
"Item %s is out of stock and cannot be ordered.","L'article %s est en rupture de stock et ne peut pas être commandé."
"item %s is out of stock.","l'article %s est en rupture de stock."
"Item Manager","Gestionnaire d'objet"
"Item(s) were moved to Quote mode successfully.","Les articles ont été déplacés avec succès en mode Devis."
"Items Manager","Gestionnaire d'objets"
"Link to the New Quote","Lien vers le nouveau devis"
"Link to the Previous Quote","Lien vers le devis précédent"
"Linked Orders","Commandes liées"
"Linked Quote Request","Demande de devis liée"
"Loading","Chargement"
"LOCKED","VERROUILLÉ"
"Log out from quote confirmation mode","Se déconnecter du mode de confirmation de devis"
"Logged in admin user","Utilisateur admin connecté"
"Logged in admin user with rotate fallback","Utilisateur admin connecté avec rotation fallback"
"Logged in admin user with rotation fallback","Utilisateur admin connecté avec rotation fallback"
"Margin (GP)","Marge (GP)"
"Mass delete action is only allowed for users of the group: ""Administrators"".","L'action de suppression en masse n'est autorisée que pour les utilisateurs du groupe ""Administrateurs""."
"Message Action","Message Action"
"Message History","Historique de message"
"Message template","Modèle de message"
"Minimum of one Qty is required","Minimum d'une quantité requise"
"Module Ophirah_Qquoteadv / Cart2Quote is disabled, please enable it in System>Configuration>Cart2Quote>General","Le module Ophirah_Qquoteadv / Cart2Quote est désactivé, veuillez l'activer dans Système> Configuration> Cart2Quote> Général."
"My Quote","Mon devis"
"My Quote (%s item)","Mon devis (%s item)"
"My Quote (%s items)","Mon devis(%s items)"
"No Available Shipping Method","Aucune méthode d'expédition disponible"
"No Available Shipping Methods","Aucune méthode d'expédition disponible"
"No Coupon Code Applied","Aucun code promo appliqué"
"No Coupon Codes Available","Aucun code promo disponible"
"No Files are available.","Aucun fichier n'est disponible."
"No Follow Up date","Aucune date de suivi"
"No product found for the given attributes","Aucun produit trouvé pour les attributs donnés"
"No profit, increase Price(s)","Pas de profit, augmentation des prix"
"No quotes selected to export","Aucun devis sélectionné pour l'exportation"
"Not Now","Pas maintenant"
"Not visible for customers","Non visible pour les clients"
"Notes with Product:","Notes avec le produit :"
"Old status could not be determined","Ancien statut impossible à déterminer"
"Only for selected user groups","Seulement pour les groupes d'utilisateurs sélectionnés"
"Please Upgrade","S'il vous plaît mettre à niveau"
"Please upgrade to Cart2Quote Starter or higher to use this feature","Veuillez mettre à niveau vers Cart2Quote Starter ou une version ultérieure pour utiliser cette fonctionnalité."
"Price_proposal_%s","Price_proposal_%s"
"Print Quote ","Impression de Devis "
"Product %s couldn't be added to the Quote Request","Le produit %s n'a pas pu être ajouté à la demande de devis."
"Product cannot be added to quote list","Le produit ne peut pas être ajouté à la liste de devis"
"Product: ""%s"" could not be added to the cart","Le produit : ""%s"" n'a pas pu être ajouté au panier."
"Profit is based on entered cost prices","Le bénéfice est basé sur les prix de revient entrés"
"Proposal","Proposition"
"Proposal was not sent, no profit","La proposition n'a pas été envoyée, pas de profit"
"Qquote reject email was't sent to admin for quote #%s","L'e-mail de rejet Qquote n'a pas été envoyé à l'administrateur pour le devis #%s"
"Quotation #%s","Devis #%s"
"Quotation Management","Gestion des devis"
"Quotations","Devis"
"Quote # %s","Devis #%s"
"Quote # %s | Quote Date %s","Devis #%s | Date de soumission %s"
"Quote could not be saved.","Le devis n'a pas pu être enregistrée."
"Quote Information","Informations sur les devis"
"Quote is currently on hold","Le devis est actuellement en attente"
"Quote is succesfully unhold!","Le devis est retiré avec succès !"
"Quote item is not quotable.","L'article de devis n'est pas devisable."
"Quote profit","Profit du devis"
"Quote profit (%s)","Profit du devis (%s)"
"Quote Reduction was not a valid decimal number","La réduction de devis n'était pas un nombre décimal valide"
"Quote reference","Référence de devis"
"Quote Request","Demande de devis"
"Quote request","Demande de devis"
"Quote request is converted from %d%% VAT to %d%% VAT.","La demande de devis est convertie de %d%% VAT en %d%% VAT."
"Quote status","Etat du devis"
"Quote subtotal (%s)","Sous-total du devis (%s)"
"Quote Totals","Totaux des devis"
"Quote view","Vue de devis"
"Quote was saved with errors","Le devis a été enregistré avec des erreurs"
"Quote was successfully canceled","Le devis a été annulé avec succès"
"Quote was successfully saved","Le devis a été enregistré avec succès"
"Quote will be assigned to <strong>%s</strong>","Le devis sera attribué à <strong>%s</strong>"
"Recalculate","Recalculer"
"Remarks","Remarques"
"Reminder Date","Date de rappel"
"Remove Current Rate ?","Supprimer le taux actuel ?"
"Require Quote submission with a known email address to login first.","Exigez l'envoi d'un devis avec une adresse électronique connue pour vous connecter en premier."
"Reset Follow Up","Réinitialiser le suivi"
"RFQ From","RFQ De"
"Rotate admin role","Rotation du rôle d'administrateur"
"Rotation","Rotation"
"Save Quote","Enregistrer le devis"
"See Plans and Pricing","Voir les forfaits et les prix"
"Select in Checkout","Sélectionner à la caisse"
"Select one Qty per product. (When editing this product you will be able to re-enter the extra tiers in this screen.)","Sélectionnez une quantité par produit. (Lors de l'édition de ce produit, vous pourrez entrer à nouveau dans les niveaux supplémentaires dans cet écran.)"
"Select Qty","Sélectionnez Qté"
"Send Message","Envoyer le message"
"Sending CRM Email is disabled","L'envoi d'e-mails CRM est désactivé"
"Sending proposal Email is disabled","L'envoi de la proposition est désactivé"
"Set Follow Up date","Définir la date de suivi"
"Shipping & Handling price per Item","Prix d'expédition et de manutention par article"
"Shipping Address is same as Billing Address","L'adresse de livraison est la même que l'adresse de facturation"
"Shipping Estimate","estimation de livraison"
"Something went wrong while duplicating this quote","Quelque chose s'est mal passé lors de la duplication de ce devis"
"Status changed to","Statut changé à"
"Status update (system message)","Mise à jour du statut (message système)"
"STATUS_CONFIRMED_ALTERNATE","STATUS_CONFIRMED_ALTERNATE"
"STATUS_ORDERED","STATUS_ORDERED"
"STATUS_PROPOSAL_BEGIN","STATUS_PROPOSAL_BEGIN"
"Submit Quote","Soumettre un devis"
"Submit Request","Envoyer la demande"
"SUBSTATUS_CANCELLED_SUB100","SUBSTATUS_CANCELLED_SUB100"
"SUBSTATUS_PROPOSAL_SUB100","SUBSTATUS_PROPOSAL_SUB100"
"SUBSTATUS_PROPOSAL_SUB200","SUBSTATUS_PROPOSAL_SUB200"
"SUBSTATUS_PROPOSAL_SUB300","SUBSTATUS_PROPOSAL_SUB300"
"SUBSTATUS_REJECTED_SUB100","SUBSTATUS_REJECTED_SUB100"
"SUBSTATUS_SAVED_SUB100","SUBSTATUS_SAVED_SUB100"
"SUBSTATUS_SAVED_SUB200","SUBSTATUS_SAVED_SUB200"
"Subtotal Original (%s)","Sous-total d'origine (%s)"
"Surcharge","Surtaxe"
"Thanks for trying Cart2Quote","Merci d'avoir essayé Cart2Quote"
"The cart2quote export folder is not writable: ","Le dossier d’exportation de cart2quote n’est pas accessible en écriture : "
"The Cart2Quote template files are disabled.","Les templates Cart2Quote sont désactivés."
"The CSV export function is only available in Cart2Quote Enterprise. To update please go to <a href='https://www.cart2quote.com/pricing-magento-quotation-module.html?utm_source=Customer%2Bwebsite&utm_medium=license%2Bpopup&utm_campaign=Upgrade%2Bversion'>https://www.cart2quote.com</a>","La fonction d'exportation CSV est uniquement disponible dans Cart2Quote Enterprise. Pour effectuer la mise à jour, veuillez vous rendre sur <a href='https://www.cart2quote.com/pricing-magento-quotation-module.html?utm_source=Customer%2Bwebsite&utm_medium=license%2Bpopup&utm_campaign=Upgrade%2Bversion'>https://www.cart2quote.com</a>"
"The following item will not be added to the quotation list if you continue:","L'élément suivant ne sera pas ajouté à la liste de devis si vous continuez :"
"The module ""Ophirah_Crmaddon"" is disabled, pleas enable it. (app/etc/modules/Ophirah_Crmaddon.xml)","Le module ""Ophirah_Crmaddon"" est désactivé, veuillez l'activer. (app / etc / modules / Ophirah_Crmaddon.xml)"
"The module output of ""Ophirah_Crmaddon"" is disabled, pleas enable it. (System>Configuration>Advanced>Advanced>Disable Modules Output>Ophirah_Crmaddon)","La sortie de module de ""Ophirah_Crmaddon"" est désactivée, veuillez l'activer. (Système> Configuration> Avancé> Avancé> Désactiver la sortie des modules> Ophirah_Crmaddon)"
"The product ""%s"" could not be added. (No user rights)","Le produit ""%s"" n'a pas pu être ajouté. (Pas de droits d'utilisateur)"
"There are <a href=""%s"">%s items</a> in your quote.","Il y a <a href=""%s"">%s éléments</a> dans votre devis."
"There are <a href='%s'>%s new</a> requests since your last login.","Il y a <a href='%s'>%s nouvelles</a> requêtes depuis votre dernière connexion."
"There are no printable documents related to selected quotes","Il n'y a pas de documents imprimables liés aux devis sélectionnés"
"There is <a href=""%s"">1 item</a> in your quote.","Il y a <a href=""%s"">1 élément</a> dans votre devis."
"There is <a href='%s'>%s new</a> request since your last login.","Il y a une <a href='%s'>% s nouvelle requête </a> depuis votre dernière connexion."
"There was an error, because the customer address was undefined","Il y avait une erreur, parce que l'adresse du client n'était pas définie"
"There was an error, because the customer shipping address was undefined","Une erreur s'est produite car l'adresse de livraison du client n'était pas définie."
"There was an error, because the product quantities were not defined","Il y avait une erreur, car les quantités de produit n'étaient pas définies"
"This function is only available from the Starter and above editions. <a href='https://www.cart2quote.com/magento-quotation-module-pricing.html'>Upgrade</a>","Cette fonction est uniquement disponible à partir des éditions Starter et ultérieur. <a href='https://www.cart2quote.com/magento-quotation-module-pricing.html'>Mettre à niveau</a>"
"This function is only available in the Cart2Quote enterprise edition. <a href='https://www.cart2quote.com/cart2quote-update-upgrade.html'>Upgrade</a>","Cette fonction est uniquement disponible dans l'édition Enterprise de Cart2Quote. <a href='https://www.cart2quote.com/cart2quote-update-upgrade.html'>Mettre à niveau</a>"
"This function is only available in the enterprise (non-trial) edition. <a href='https://www.cart2quote.com/magento-quotation-module-pricing.html'>Upgrade</a>","Cette fonction est uniquement disponible dans l'édition entreprise (non-d'essai). <a href='https://www.cart2quote.com/magento-quotation-module-pricing.html'>Mettre à niveau</a>"
"This function is only available in the Enterprise edition. <a href='https://www.cart2quote.com/magento-quotation-module-pricing.html'>Upgrade</a>","Cette fonction est uniquement disponible dans l'édition Enterprise. <a href='https://www.cart2quote.com/magento-quotation-module-pricing.html'>Mettre à niveau</a>"
"This quote no longer exists.","Ce devis n'existe plus."
"Tier/Qty","Niveau / Qté"
"Tier quantity was deleted successfully.","La quantité de niveau a été supprimée avec succès."
"To change your currency <a href='%s'>log out</a> from Quote confirmation mode.","Pour changer votre devise, <a href='%s'>déconnectez-vous</a> du mode de confirmation du devis."
"To create an order, select product(s) and quantity","Pour créer une commande, sélectionnez le(s) produit(s) et la quantité"
"To update item in the Shopping cart <a href='%s'>log out</a> from Quote confirmation mode.","Pour mettre à jour un article du panier, <a href='%s'>déconnectez-vous</a> du mode de confirmation du devis."
"Today and Future","Aujourd'hui et demain"
"Today only","Aujourd'hui seulement"
"Total price","Prix total"
"Unable to find item to save","Impossible de trouver l'élément à sauvegarder"
"Unable to remove the file.","Impossible de supprimer le fichier."
"Unable to to save customer. Email: %s","Impossible de sauver le client. Email : %s"
"Update Quote","Devis mis à jour"
"Upload error 1: Max upload size exceeded.","Erreur de téléchargement 1 : la taille maximale de téléchargement a été dépassée."
"Upload error 2: Max upload size exceeded.","Erreur de téléchargement 2 : taille maximale de téléchargement dépassée."
"Upload error 3: File was partially uploaded, please retry.","Erreur de téléchargement 3 : le fichier a été partiellement téléchargé. Veuillez réessayer."
"Upload error 4: No file was uploaded","Erreur de téléchargement 4 : aucun fichier n'a été téléchargé"
"Upload error 6: Unable to upload file: missing temporary folder.","Erreur de téléchargement 6 : impossible de télécharger le fichier : dossier temporaire manquant."
"Upload error 7: Unable to upload file: failed to write file to disk.","Erreur de téléchargement 7 : impossible de télécharger le fichier : échec de l'écriture du fichier sur le disque."
"Upload error 8: Unable to upload file: Unknown error. More information is availible in Magento exception log.","Erreur de téléchargement 8 : impossible de télécharger le fichier : erreur inconnue. Plus d'informations sont disponibles dans le journal des exceptions Magento."
"Upload error: Unknown error","Erreur de téléchargement : erreur inconnue"
"Url","URL"
"Use alternative url","Utiliser une URL alternative"
"Use Default Billing and Shipping Address","Utiliser l'adresse de facturation et d'expédition par défaut"
"Use Magento ""After Adding a Product Redirect to Shopping Cart"" setting","Utiliser le paramètre ""Redirection au panier après avoir ajouté un produit"" de Magento"
"Use Store Settings","Utiliser les paramètres du magasin"
"View all items on your quote","Afficher tous les éléments de votre devis"
"Visit customer dashboard for more options","Visitez le tableau de bord client pour plus d'options"
"with any special requests, shipping instructions, or other important details","avec toutes demandes spéciales, instructions d'expédition ou autres détails importants"
"Yes and Required","Oui et requis"
"You are in a quote edit mode, <a href='%s'>log out</a>.","Vous êtes en mode édition de devis, <a href='%s'>déconnectez-vous</a>."
"You don't have permission to view or edit this Quote","Vous n'êtes pas autorisé à afficher ou à modifier ce devis"
"You have no items in your quote.","Vous n'avez aucun article dans votre devis."
"You may request a quote without any obligations","Vous pouvez demander un devis sans engagement"
"You will receive a quote cancellation confirmation email.","Vous recevrez un email de confirmation d'annulation de devis."
"Your quote request # is: %s.","Votre demande de devis est : %s."
"Your quote print # is: %s.","Le numéro d'impression de votre devis est : %s."
"Your quote request has been cancelled","Votre demande de devis a été annulée"
"You have <a href='%s'> %s unanswered</a> quotation requests that require your action.","Vous avez <a href='%s'>%s demande de devis sans réponse</a> qui requièrent votre intervention."
"You have <a href='%s'> %s unanswered</a> quote request that require your action.","Vous avez une <a href='%s'>%s demande de devis sans réponse</a> qui requièrent votre intervention."
"Bill to:","Facturé à :"
"QUOTATION","DEVIS"
"Product image","Image produit"
"QTY","QTÉ"
"Shipping & Handling (Excl. Tax)","Livraison (HT)"
